[2025-12-30 17:42:12.536] [info]  DiscordSplash.signalReady
[2025-12-30 17:42:12.550] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-12-30 17:42:12.551] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-12-30 17:42:12.552] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-12-30 17:42:12.553] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-12-30 17:42:12.553] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-12-30 17:42:12.553] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-12-30 17:42:12.553] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-12-30 17:42:12.553] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-12-30 17:42:12.553] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-12-30 17:42:12.554] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-12-30 17:42:12.554] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-12-30 17:42:12.554] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-12-30 17:42:12.554] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-12-30 17:42:12.554] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-12-30 17:42:13.497] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-12-30 17:42:13.498] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-12-30 17:42:13.535] [info]  Splash.updateCountdownSeconds: undefined
[2025-12-30 17:42:14.070] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-12-30 17:42:14.070] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-12-30 17:42:14.095] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-12-30 17:42:14.095] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-12-30 17:42:14.132] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-12-30 17:42:14.132] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-12-30 17:42:14.150] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-12-30 17:42:14.150] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-12-30 17:42:14.175] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
